,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
1080,Đường Vĩnh Lộc, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,400 triệu,Cần bán,"Đất thổ cư, đất ở",---,Giấy tờ hợp lệ,75 m,5m,15m,---,---,_,5m,---,---,---,Y
1081,Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh,"10,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,58 m,"3,8m",16m,5,10,Bắc,5m,Y,Y,Y,Y
1082,113/4/10 Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh,9 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,90 m,"4,7m",19m,---,---,Đông Bắc,6m,---,---,---,---
1083,Đường số 79, Phường Phước Long B, Quận 9, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,80 m,4m,20m,3,3,_,5m,Y,Y,Y,Y
1084,Đường Trần Văn Đang, Phường 9, Quận 3, Hồ Chí Minh,"5,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,32 m,"3,2m",10m,2,3,_,"4,5m",Y,Y,Y,Y
1085,9 Đường Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh,20 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,170 m,8m,25m,2,5,_,8m,Y,Y,Y,Y
1086,Đường Đề Thám, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh,"15,9 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,72 m,4m,18m,3,4,_,4m,---,---,---,---
1087,/9 Đường Phan Xích Long, Phường 1, Quận Phú Nhuận, Hồ Chí Minh,"8,89 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,"3,5m",12m,3,6,_,8m,Y,Y,Y,Y
1088,Đường Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, Hồ Chí Minh,24 tỷ,Cần bán,Nhà mặt tiền,---,---,40 m,"4,3m",10m,5,5,_,30m,---,---,---,---
1089,Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,"13,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,180 m,"5,5m","32,5m",1,2,_,8m,Y,Y,Y,Y
1090,Đường Xuyên Á, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,650 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,4m,12m,2,2,_,10m,Y,Y,Y,Y
1091,Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,"17,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,350 m,---,---,4,6,_,10m,Y,Y,Y,Y
1092,Đường Đinh Đức Thiện, Xã Hưng Long, Huyện Bình Chánh, Hồ Chí Minh,670 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,56 m,4m,14m,1,2,_,6m,---,---,---,---
1093,HỒ CHÍ MINH Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh,"11,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,84 m,---,---,5,6,_,5m,Y,Y,Y,Y
1094,Đường Thị Trấn Tân Hiệp, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh,"1,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,300 m,10m,30m,1,1,_,12m,Y,Y,---,Y
1095,Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh,46 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,538 m,---,---,9,10,Đông Nam,20m,Y,Y,Y,Y
1096,Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh,"3,1 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,_,13m,---,---,---,---
1097,Đường Bát Nàn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh,32 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,200 m,10m,20m,3,5,_,12m,Y,Y,Y,Y
1098,Đường Số 18, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh,160 triệu,Cần bán,"Đất thổ cư, đất ở",---,---,40 m,4m,10m,---,---,_,4m,---,---,---,---
1099,Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh,55 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,363 m,11m,35m,7,7,_,20m,Y,Y,Y,Y
1100,Đường C1, Phường 3, Quận Tân Bình, Hồ Chí Minh,650 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,135 m,5m,27m,---,---,_,8m,---,---,---,---
1101,Đường Số 33, Phường Bình An, Quận 2, Hồ Chí Minh,26 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,120 m,6m,20m,5,5,_,12m,Y,Y,Y,Y
1102,Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,340 triệu,Cần bán,Nhà trong hẻm,---,---,48 m,4m,12m,1,1,_,4m,Y,Y,Y,Y
1103,Đường Trường Sa, Phường 14, Quận 3, Hồ Chí Minh,25 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,48 m,13m,4m,4,4,_,20m,Y,Y,Y,Y
1104,Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh,175 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,1.000 m,20m,50m,1,4,_,15m,Y,Y,Y,Y
1105,Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh,"25,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,110 m,6m,19m,2,5,_,12m,Y,Y,Y,Y
1106,Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,"14,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,72 m,"4,5m",17m,3,6,_,6m,Y,Y,Y,Y
1107,Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh,12 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,64 m,4m,16m,4,9,_,6m,Y,Y,Y,Y
1108,Đường Nguyễn Văn Giai, Phường Đa Kao, Quận 1, Hồ Chí Minh,"28,6 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,150 m,4m,35m,1,1,_,20m,---,---,---,---
1109,Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh,140 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,605 m,20m,30m,7,7,_,20m,Y,Y,Y,Y
1110,Đường Duy Tân, Phường 15, Quận Phú Nhuận, Hồ Chí Minh,"13,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,48 m,"4,4m",11m,4,5,_,10m,Y,Y,Y,Y
1111,Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh,35 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,232 m,14m,18m,2,4,_,12m,Y,Y,Y,Y
1112,Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Hồ Chí Minh,"8,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,66 m,5m,14m,2,3,_,6m,Y,Y,Y,Y
1113,Đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh, Hồ Chí Minh,"8,55 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,86 m,4m,20m,2,3,_,6m,Y,Y,---,---
1114,Đường Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Hồ Chí Minh,54 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,147 m,6m,24m,2,3,_,20m,---,---,---,---
1115,Đường Chu Văn An, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,"17,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,4m,20m,4,5,_,20m,Y,Y,Y,Y
1116,Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Hồ Chí Minh,"8,3 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,75 m,"5,6m",13m,1,3,_,"4,5m",---,---,---,---
1117,Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Hồ Chí Minh,"4,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,46 m,"4,2m",11m,4,3,_,3m,Y,Y,Y,---
1118,Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh,"4,69 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,"5,5m",15m,3,4,_,6m,Y,Y,---,Y
1119,Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,"1,93 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,79 m,"3,2m","13,5m",2,2,_,7m,Y,Y,---,Y
1120,Đường Hoàng Sa, Phường Đa Kao, Quận 1, Hồ Chí Minh,"17,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,4m,14m,4,5,_,8m,Y,Y,Y,Y
1121,Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh,"3,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,100 m,"4,8m",25m,1,2,_,4m,Y,Y,---,---
1122,Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh,"3,6 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,4m,"13,2m",2,2,_,5m,Y,Y,---,Y
1123,Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh,18 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,"6,8m",19m,3,5,_,35m,---,---,---,---
1124,Đường Xô Viết Nghệ Tĩnh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh,"22,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,230 m,9m,28m,1,1,_,230m,---,---,---,---
1125,Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Hồ Chí Minh,48 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,510 m,16m,32m,1,1,_,30m,Y,Y,Y,Y
1126,Đường Phạm Văn Hai, Phường 5, Quận Tân Bình, Hồ Chí Minh,22 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,260 m,5m,11m,4,10,_,12m,Y,Y,Y,Y
1127,Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh,17 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,30 m,"3,5m",9m,2,2,_,6m,Y,Y,---,Y
1128,Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh,"9,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,280 m,4m,18m,4,6,_,12m,Y,Y,Y,Y
1129,Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh,75 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,300 m,"8,8m","33,35m",10,22,_,30m,---,---,Y,Y
1130,Đường Lê Văn Sỹ, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,"8,4 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,64 m,4m,16m,4,5,_,"3,5m",---,---,---,---
1131,Đường Hòa Hảo, Phường 5, Quận 10, Hồ Chí Minh,"9,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,140 m,4m,14m,3,5,_,5m,Y,Y,Y,Y
1132,Đường Trần Quý Cáp, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,"23,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,5m,28m,4,18,_,15m,---,---,---,---
1133,Đường Phạm Huy Thông, Phường 7, Quận Gò Vấp, Hồ Chí Minh,28 tỷ,Cần bán,Nhà mặt tiền,---,---,220 m,20m,20m,1,1,_,25m,Y,Y,---,Y
1134,Đường Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh,19 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,83 m,"7,5m",11m,4,4,_,20m,Y,Y,Y,Y
1135,Đường Tỉnh lộ 10, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh,"1,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,130 m,5m,26m,---,---,_,10m,---,---,---,---
1136,Đường Nguyễn Tri Phương, Phường 7, Quận 5, Hồ Chí Minh,33 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,92 m,4m,24m,3,5,_,12m,---,Y,Y,Y
1137,Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh,"32,5 tỷ",Cần bán,Nhà trong hẻm,---,---,160 m,8m,20m,3,---,_,15m,---,---,Y,Y
1138,HCM Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh,"4,7 tỷ",Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,58 m,4m,"14,5m",2,2,_,5m,Y,Y,Y,Y
1139,Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh,21 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,488 m,6m,35m,3,6,_,20m,Y,Y,Y,Y
1140,Đường Trần Hưng Đạo, Phường Bến Thành, Quận 1, Hồ Chí Minh,"43,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,"4,5m",20m,3,10,_,30m,---,---,---,---
1141,Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, Hồ Chí Minh,"1,23 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,1,2,_,5m,---,Y,Y,Y
1142,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,85 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,115 m,---,---,---,---,_,20m,---,---,---,---
1143,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,20 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Giấy tờ hợp lệ,189 m,---,---,---,---,_,20m,---,---,---,---
1144,Đường Trần Văn Giàu, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh,"1,6 tỷ",Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,300 m,10m,30m,---,14,_,12m,Y,Y,---,Y
1145,Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh,"4,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,55 m,"3,7m",15m,1,2,_,6m,Y,Y,---,Y
1146,413/56 Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh,"3,95 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,130 m,4m,12m,2,3,Đông,6m,Y,Y,Y,Y
1147,Quận Bình Tân Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh,"7,94 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,55 m,4m,"13,7m",4,4,_,8m,Y,Y,Y,Y
1148,Đường Võ Thị Sáu, Phường Tân Định, Quận 1, Hồ Chí Minh,"20,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,94 m,"4,7m",23m,1,1,_,20m,---,---,---,---
1149,Quận10 Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh,"6,29 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,"3,5m",11m,4,4,_,3m,Y,Y,Y,Y
1150,Đường Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, Hồ Chí Minh,24 tỷ,Cần bán,Nhà mặt tiền,---,---,40 m,"4,2m",10m,4,8,_,30m,---,---,---,---
1151,Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh,95 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,360 m,14m,24m,2,2,_,20m,---,---,---,---
1152,Đường Lý Thường Kiệt, Phường 6, Quận Tân Bình, Hồ Chí Minh,53 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,6m,35m,5,---,_,12m,Y,Y,Y,Y
1153,Đường An Dương Vương, Phường 8, Quận 5, Hồ Chí Minh,55 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,72 m,4m,18m,3,6,_,30m,---,---,---,---
1154,Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,---,50 m,5m,10m,3,3,_,5m,---,---,---,---
1155,Đường Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Hồ Chí Minh,110 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,192 m,12m,16m,10,10,_,30m,---,---,---,---
1156,Đường Hoàng Việt, Phường 4, Quận Tân Bình, Hồ Chí Minh,17 tỷ,Cần bán,"Nhà hàng, khách sạn",---,Sổ hồng/ Sổ đỏ,132 m,---,---,4,4,_,8m,---,---,---,---
1157,Đường Hoa Sứ, Phường 2, Quận Phú Nhuận, Hồ Chí Minh,20 tỷ,Cần bán,Nhà mặt tiền,---,---,64 m,---,---,2,---,_,20m,---,---,---,---
1158,Đường An Dương Vương, Phường 8, Quận 5, Hồ Chí Minh,22 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,88 m,4m,25m,2,3,_,35m,---,---,---,---
1159,Đường Nguyễn Văn Luông, Phường 10, Quận 6, Hồ Chí Minh,"11,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,63 m,4m,15m,---,1,_,15m,Y,Y,---,Y
1160,Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh,"25,5 tỷ",Cần bán,Nhà trong hẻm,---,---,190 m,---,---,5,20,_,8m,---,---,---,---
1161,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,986 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,110 m,5m,22m,---,---,_,5m,---,---,---,---
1162,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,950 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,95 m,"4,5m",22m,---,---,_,5m,---,---,---,---
1163,Đường Nguyễn Trọng Tuyển, Phường 10, Quận Phú Nhuận, Hồ Chí Minh,"13,2 tỷ",Cần bán,Nhà trong hẻm,---,---,68 m,---,17m,4,3,_,8m,Y,Y,Y,Y
1164,Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh,30 tỷ,Cần bán,Nhà mặt tiền,---,---,88 m,---,---,5,---,_,20m,---,---,---,---
1165,Đường Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh,"33,5 tỷ",Cần bán,Nhà mặt tiền,---,---,56 m,---,---,5,---,_,20m,---,---,---,---
1166,Đường Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, Hồ Chí Minh,24 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,34 m,---,---,5,9,_,8m,---,---,---,---
1167,Đường Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, Hồ Chí Minh,560 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,150 m,5m,30m,---,---,Đông Nam,14m,---,---,---,---
1168,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,795 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,103 m,"4,5m",23m,---,---,_,5m,---,---,---,---
1169,Đường Phan Chu Trinh, Phường 24, Quận Bình Thạnh, Hồ Chí Minh,4 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,5m,10m,3,3,_,4m,---,---,---,---
1170,Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh,"38,5 tỷ",Cần bán,Nhà mặt tiền,---,---,72 m,---,---,4,---,_,25m,---,---,---,---
1171,Đường Hoàng Sa, Phường Đa Kao, Quận 1, Hồ Chí Minh,"17,1 tỷ",Cần bán,Nhà trong hẻm,---,---,68 m,---,---,3,---,_,10m,---,---,---,---
1172,68 Đường Bàu Cát 2, Phường 12, Quận Tân Bình, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,45 m,4m,12m,1,3,_,6m,Y,Y,---,Y
1173,Đường Tái Thiết, Phường 11, Quận Tân Bình, Hồ Chí Minh,"11,9 tỷ",Cần bán,Nhà mặt tiền,---,---,91 m,---,---,---,---,_,10m,---,---,---,---
1174,HỒ CHÍ MINH Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Hồ Chí Minh,"6,8 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,64 m,---,---,2,3,_,4m,Y,Y,Y,Y
1175,Đường Điện Biên Phủ, Phường 6, Quận 3, Hồ Chí Minh,73 tỷ,Cần bán,Nhà mặt tiền,---,---,180 m,---,---,3,3,_,30m,---,---,---,---
1176,Đường Đinh Bộ Lĩnh, Phường 24, Quận Bình Thạnh, Hồ Chí Minh,46 tỷ,Cần bán,Nhà mặt tiền,---,---,202 m,---,---,1,1,_,30m,---,---,---,---
1177,Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh,72 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,257 m,---,---,3,6,_,10m,---,---,---,---
1178,Đường Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Hồ Chí Minh,"6,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,72 m,4m,18m,1,5,_,8m,Y,Y,Y,Y
1179,Đường Nguyễn Tư Giản, Phường 15, Quận Gò Vấp, Hồ Chí Minh,920 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,56 m,4m,14m,1,2,_,6m,---,---,---,---
1180,Đường Xô Viết Nghệ Tĩnh, Phường 24, Quận Bình Thạnh, Hồ Chí Minh,27 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,206 m,---,---,2,3,_,12m,---,---,---,---
1181,Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Hồ Chí Minh,"5,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,64 m,4m,16m,1,1,_,6m,Y,Y,Y,Y
1182,Đường Sư Thiện Chiếu, Phường 7, Quận 3, Hồ Chí Minh,"75,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,---,251 m,---,---,1,1,_,15m,---,---,---,---
1183,Đường Hoa Đào, Phường 2, Quận Phú Nhuận, Hồ Chí Minh,46 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,144 m,---,---,3,3,_,15m,---,---,---,---
1184,Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh,12 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,84 m,"4,2m",20m,5,10,_,20m,Y,Y,Y,Y
1185,Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh,53 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,144 m,---,---,3,3,_,15m,---,---,---,---
1186,Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,45 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,170 m,---,---,3,5,_,8m,---,---,---,---
1187,Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh,120 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,314 m,---,---,1,1,_,15m,---,---,---,---
1188,Đường Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Hồ Chí Minh,36 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,120 m,---,---,4,3,_,6m,---,---,---,---
1189,Đường Lý Chính Thắng, Phường 8, Quận 3, Hồ Chí Minh,66 tỷ,Cần bán,Nhà mặt tiền,---,---,130 m,---,---,6,10,_,20m,---,---,---,---
1190,Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh,3 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,180 m,4m,15m,3,4,Nam,4m,Y,Y,---,---
1191,Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Hồ Chí Minh,85 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,264 m,---,---,3,4,_,15m,---,---,---,---
1192,Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh,39 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,360 m,---,---,4,7,_,10m,---,---,---,---
1193,Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Hồ Chí Minh,"6,6 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,72 m,4m,18m,1,5,_,8m,Y,Y,Y,Y
1194,Đường Lâm Văn Bền, Phường Tân Hưng, Quận 7, Hồ Chí Minh,"4,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,52 m,4m,13m,1,2,_,5m,---,---,---,---
1195,Đường Lý Thường Kiệt, Phường 7, Quận Tân Bình, Hồ Chí Minh,40 tỷ,Cần bán,Nhà mặt tiền,---,---,130 m,"6,5m",20m,1,1,_,30m,---,---,---,---
1196,Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh,98 tỷ,Cần bán,Nhà mặt tiền,---,---,400 m,16m,25m,2,3,_,16m,---,---,---,---
